--- Terminal: 1 ---
[2026-05-13 08:05:49] Decode batch, #running-req: 24, #full token: 1886965, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1855.64, #queue-req: 8, 
[2026-05-13 08:05:50] Decode batch, #running-req: 24, #full token: 1888725, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1854.45, #queue-req: 8, 
[2026-05-13 08:05:50] Decode batch, #running-req: 24, #full token: 1890485, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1855.82, #queue-req: 8, 
[2026-05-13 08:05:51] Decode batch, #running-req: 24, #full token: 1892245, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1855.28, #queue-req: 8, 
[2026-05-13 08:05:52] Decode batch, #running-req: 24, #full token: 1894005, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1855.31, #queue-req: 8, 
[2026-05-13 08:05:53] Decode batch, #running-req: 24, #full token: 1895765, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1854.00, #queue-req: 8, 
[2026-05-13 08:05:54] Decode batch, #running-req: 24, #full token: 1897525, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1847.96, #queue-req: 8, 
[2026-05-13 08:05:55] Decode batch, #running-req: 24, #full token: 1899285, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1850.02, #queue-req: 8, 
[2026-05-13 08:05:56] Decode batch, #running-req: 24, #full token: 1901045, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1850.41, #queue-req: 8, 
[2026-05-13 08:05:57] Decode batch, #running-req: 24, #full token: 1902805, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1851.14, #queue-req: 8, 
[2026-05-13 08:05:58] Decode batch, #running-req: 24, #full token: 1904565, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1849.97, #queue-req: 8, 
